cabb,ccode,cname,gdp2005
USA,2,United States of America,11750000000000.0
CAN,20,Canada,1023000000000.0
BHM,31,Bahamas,5295000000.0
CUB,40,Cuba,33920000000.0
HAI,41,Haiti,12050000000.0
DOM,42,Dominican Republic,55680000000.0
JAM,51,Jamaica,11130000000.0
TRI,52,Trinidad and Tobago,11480000000.0
BAR,53,Barbados,4569000000.0
DMA,54,Dominica,384000000.0
GRN,55,Grenada,440000000.0
SLU,56,St. Lucia,866000000.0
SVG,57,St. Vincent and the Grenadines,342000000.0
AAB,58,Antigua & Barbuda,750000000.0
SKN,60,St. Kitts and Nevis,339000000.0
MEX,70,Mexico,1006000000000.0
BLZ,80,Belize,1778000000.0
GUA,90,Guatemala,59470000000.0
HON,91,Honduras,18790000000.0
SAL,92,El Salvador,32350000000.0
NIC,93,Nicaragua,12340000000.0
COS,94,Costa Rica,37970000000.0
PAN,95,Panama,20570000000.0
COL,100,Colombia,281100000000.0
VEN,101,Venezuela,145200000000.0
GUY,110,Guyana,2899000000.0
SUR,115,Suriname,1885000000.0
ECU,130,Ecuador,49510000000.0
PER,135,Peru,155300000000.0
BRA,140,Brazil,1492000000000.0
BOL,145,Bolivia,22330000000.0
PAR,150,Paraguay,29930000000.0
CHL,155,Chile,169100000000.0
ARG,160,Argentina,483500000000.0
URU,165,Uruguay,49270000000.0
UKG,200,United Kingdom,1782000000000.0
IRE,205,Ireland,126400000000.0
NTH,210,Netherlands,481100000000.0
BEL,211,Belgium,316200000000.0
LUX,212,Luxembourg,27270000000.0
FRN,220,France,1737000000000.0
SWZ,225,Switzerland,251900000000.0
SPN,230,Spain,937600000000.0
POR,235,Portugal,188700000000.0
GMY,255,Germany,2362000000000.0
POL,290,Poland,463000000000.0
AUS,305,Austria,255900000000.0
HUN,310,Hungary,149300000000.0
CZR,316,Czech Republic,172200000000.0
SLO,317,Slovakia,78890000000.0
ITA,325,Italy,1609000000000.0
MLT,338,Malta,7223000000.0
ALB,339,Albania,17460000000.0
MAC,343,Macedonia,14400000000.0
CRO,344,Croatia,50330000000.0
BOS,346,Bosnia and Herzegovina,26210000000.0
SLV,349,Slovenia,39410000000.0
GRC,350,Greece,226400000000.0
CYP,352,Cyprus,15710000000.0
BUL,355,Bulgaria,61630000000.0
MLD,359,Moldova,8581000000.0
ROM,360,Romania,171500000000.0
RUS,365,Russia,1408000000000.0
EST,366,Estonia,19230000000.0
LAT,367,Latvia,26530000000.0
LIT,368,Lithuania,45230000000.0
UKR,369,Ukraine,299100000000.0
BLR,370,Belarus,70500000000.0
ARM,371,Armenia,13650000000.0
GRG,372,Georgia,14450000000.0
AZE,373,Azerbaijan,30010000000.0
FIN,375,Finland,151200000000.0
SWD,380,Sweden,255400000000.0
NOR,385,Norway,183000000000.0
DEN,390,Denmark,174400000000.0
ICE,395,Iceland,9373000000.0
STP,403,Sao Tome and Principe,214000000.0
GNB,404,Guinea-Bissau,1008000000.0
EQG,411,Equatorial Guinea,1270000000.0
GAM,420,Gambia,2799000000.0
MLI,432,Mali,11000000000.0
SEN,433,Senegal,18360000000.0
BEN,434,Benin,8338000000.0
MAA,435,Mauritania,5534000000.0
NIR,436,Niger,9716000000.0
CDI,437,Ivory Coast,24780000000.0
GUI,438,Guinea,19500000000.0
BFO,439,Burkina Faso,15740000000.0
LBR,450,Liberia,2903000000.0
SIE,451,Sierra Leone,3335000000.0
GHA,452,Ghana,48270000000.0
TOG,461,Togo,8684000000.0
CAO,471,Cameroon,30170000000.0
NIG,475,Nigeria,125700000000.0
GAB,481,Gabon,7966000000.0
CEN,482,Central African Republic,4248000000.0
CHA,483,Chad,15660000000.0
CON,484,Congo,
DRC,490,Democratic Republic of the Congo,42740000000.0
UGA,500,Uganda,39390000000.0
KEN,501,Kenya,34680000000.0
TAZ,510,Tanzania,23710000000.0
BUI,516,Burundi,4001000000.0
RWA,517,Rwanda,10430000000.0
SOM,520,Somalia,4597000000.0
DJI,522,Djibouti,619000000.0
ETH,530,Ethiopia,54890000000.0
ERI,531,Eritrea,4154000000.0
ANG,540,Angola,23170000000.0
MZM,541,Mozambique,23380000000.0
ZAM,551,Zambia,9409000000.0
ZIM,552,Zimbabwe,24370000000.0
MAW,553,Malawi,7410000000.0
SAF,560,South Africa,491400000000.0
NAM,565,Namibia,14760000000.0
LES,570,Lesotho,5892000000.0
BOT,571,Botswana,15050000000.0
SWA,572,Swaziland,6018000000.0
MAG,580,Madagascar,14560000000.0
COM,581,Comoros,441000000.0
MAS,590,Mauritius,15680000000.0
SEY,591,Seychelles,626000000.0
MOR,600,Morocco,134600000000.0
ALG,615,Algeria,212300000000.0
TUN,616,Tunisia,70880000000.0
LIB,620,Libya,37480000000.0
SUD,625,Sudan,76190000000.0
IRN,630,Iran,516700000000.0
TUR,640,Turkey,508700000000.0
IRQ,645,Iraq,54400000000.0
EGY,651,Egypt,316300000000.0
SYR,652,Syria,60440000000.0
LEB,660,Lebanon,18830000000.0
JOR,663,Jordan,25500000000.0
ISR,666,Israel,129000000000.0
SAU,670,Saudi Arabia,310200000000.0
YEM,679,Yemen,16250000000.0
KUW,690,Kuwait,48000000000.0
BAH,692,Bahrain,13010000000.0
QAT,694,Qatar,19490000000.0
UAE,696,United Arab Emirates,63670000000.0
OMA,698,Oman,38090000000.0
AFG,700,Afghanistan,21500000000.0
TKM,701,Turkmenistan,27600000000.0
TAJ,702,Tajikistan,7950000000.0
KYR,703,Kyrgyzstan,8495000000.0
UZB,704,Uzbekistan,47590000000.0
KZK,705,Kazakhstan,118400000000.0
CHN,710,China,7262000000000.0
MON,712,Mongolia,5332000000.0
TAW,713,Taiwan,576200000000.0
PRK,731,North Korea,40000000000.0
ROK,732,South Korea,925100000000.0
JPN,740,Japan,3745000000000.0
IND,750,India,3319000000000.0
BHU,760,Bhutan,2900000000.0
PAK,770,Pakistan,347300000000.0
BNG,771,Bangladesh,275700000000.0
MYA,775,Myanmar,
SRI,780,Sri Lanka,80580000000.0
MAD,781,Maldives,1250000000.0
NEP,790,Nepal,39530000000.0
THI,800,Thailand,524800000000.0
CAM,811,Cambodia,26990000000.0
LAO,812,Laos,11280000000.0
DRV,816,Vietnam,227200000000.0
MAL,820,Malaysia,229300000000.0
SIN,830,Singapore,120900000000.0
BRU,835,Brunei,6842000000.0
PHI,840,Philippines,430600000000.0
INS,850,Indonesia,827400000000.0
AUL,900,Australia,611700000000.0
PNG,910,Papua New Guinea,11990000000.0
NEW,920,New Zealand,92510000000.0
VAN,935,Vanuatu,580000000.0
SOL,940,Solomon Islands,800000000.0
KIR,946,Kiribati,79000000.0
TUV,947,Tuvalu,12200000.0
FIJ,950,Fiji,5173000000.0
TON,955,Tonga,244000000.0
NAU,970,Nauru,60000000.0
PAL,986,Palau,174000000.0
WSM,990,Samoa,1000000000.0
